Accounts Receivable,الحسابات المدينة
Debtors,مدينون
Bank Accounts,حسابات مصرفية
Cash In Hand,النقدية الحاضرة
Cash,نقد
Loans and Advances (Assets),القروض والسلفيات (الأصول)
Employee Advances,سلف الموظفين
Securities and Deposits,الأوراق المالية و الودائع
Earnest Money,العربون
Stock Assets,اصول المخزون
Stock In Hand,الأسهم، إلى داخل، أعطى
Tax Assets,ضريبية الأصول
Fixed Assets,الاصول الثابتة
Capital Equipments,المعدات الكبيرة
Electronic Equipments,المعدات الإلكترونية
Furnitures and Fixtures,أثاث وتركيبات
Office Equipments,أدوات مكتبية
Plants and Machineries,وحدات التصنيع  والآلات
Buildings,المباني
Softwares,البرامج الالكترونية
Accumulated Depreciation,إستهلاك متراكم
CWIP Account,حساب CWIP
Investments,الاستثمارات
Temporary Accounts,حسابات مؤقتة
Temporary Opening,افتتاحي مؤقت
Expenses,النفقات
Direct Expenses,النفقات المباشرة
Stock Expenses,مصاريف المخزون
Cost of Goods Sold,تكلفة البضاعة المباعة
Expenses Included In Asset Valuation,النفقات المدرجة في تقييم الأصول
Expenses Included In Valuation,المصروفات متضمنة في تقييم السعر
Stock Adjustment,تسوية المخزون
Indirect Expenses,نفقات غير مباشرة
Administrative Expenses,نفقات إدارية
Commission on Sales,عمولة على المبيعات
Depreciation,إهلاك
Entertainment Expenses,نفقات الترفيه
Freight and Forwarding Charges,رسوم الشحن
Legal Expenses,نفقات قانونية
Marketing Expenses,نفقات تسويقية
Office Maintenance Expenses,نفقات صيانة المكاتب
Office Rent,ايجار مكتب
Postal Expenses,نفقات بريدية
Print and Stationery,طباعة وقرطاسية
Round Off,تقريب
Salary,الراتب
Sales Expenses,نفقات المبيعات
Telephone Expenses,نفقات الهاتف
Travel Expenses,نفقات السفر
Utility Expenses,نفقات المرافق
Write Off,لا تصلح
Exchange Gain/Loss,أرباح / خسائر الناتجة عن صرف العملة
Gain/Loss on Asset Disposal,الربح / الخسارة عند التخلص من الأصول
Miscellaneous Expenses,نفقات متنوعة
Income,الإيرادات
Direct Income,إيراد مباشر
Sales,مبيعات
Service,خدمة
Indirect Income,دخل غير مباشرة
Source of Funds (Liabilities),(مصدر الأموال  (الخصوم
Current Liabilities,الخصوم المتداولة
Accounts Payable,الحسابات الدائنة
Creditors,الدائنين
Payroll Payable,رواتب واجبة الدفع
Stock Liabilities,خصوم المخزون
Stock Received But Not Billed,المخزون المتلقي ولكن غير مفوتر
Asset Received But Not Billed,أصل مستلم ولكن غير فاتورة
Duties and Taxes,الرسوم والضرائب
TDS Payable,@@
Loans (Liabilities),القروض (الخصوم)
Secured Loans,القروض المضمونة
Unsecured Loans,القروض غير المضمونة
Bank Overdraft Account,حساب السحب من البنك بدون رصيد
Equity,حقوق الملكية
Capital Stock,رأس المال
Dividends Paid,توزيع الأرباح
Opening Balance Equity,الرصيد الافتتاحي لحقوق الملكية
Retained Earnings,أرباح محتجزة
Not allowed to create accounting dimension for {0},غير مسموح بإنشاء بعد محاسبي لـ {0}
Document Type already used as a dimension,@@
Cannot change Reference Document Type.,@@
Please create a new Accounting Dimension if required.,@@
Company {0} is added more than once,@@
Creating Dimensions...,إنشاء الأبعاد ...
Row {0}: {1} account already applied for Accounting Dimension {2},@@
Accounting Period overlaps with {0},فترة المحاسبة تتداخل مع {0}
You cannot create a {0} within the closed Accounting Period {1},@@
Stale Days should start from 1.,@@
Bank Details,تفاصيل البنك
Refresh Plaid Link,@@
Cannot retrieve link token for update. Check Error Log for more information,@@
Plaid Link Updated,@@
Payments,المدفوعات
Party,الطرف المعني
Unlink external integrations,إلغاء ربط التكامل الخارجي
'{0}' account is already used by {1}. Use another account.,@@
Company is manadatory for company account,الشركة هي manadatory لحساب الشركة
IBAN is not valid,رقم الحساب المصرفي الدولي غير صالح
Get Payment Entries,الحصول على مدخلات الدفع
Update Clearance Date,تحديث تاريخ التخليص
From Date and To Date are Mandatory,من تاريخ وتاريخ إلزامي
Account is mandatory to get payment entries,الحساب إلزامي للحصول على إدخالات الدفع
Dr,Dr
Cr,Cr
Row #{0}: Payment document is required to complete the transaction,الصف # {0}: مطلوب مستند الدفع لإكمال الاجراء النهائي\n<br>\nRow #{0}: Payment document is required to complete the transaction
Row #{0}: Clearance date {1} cannot be before Cheque Date {2},الصف # {0}: لا يمكن ان يكون تاريخ التخليص {1} قبل تاريخ الشيك\n<br>\nRow #{0}: Clearance date {1} cannot be before Cheque Date {2}
Clearance Date updated,تم تحديث تاريخ التخليص\n<br>\nClearance Date updated
Clearance Date not mentioned,لم يتم ذكر تاريخ الاستحقاق
Select the customer or supplier.,حدد العميل أو المورد.
Enter the Bank Guarantee Number before submittting.,أدخل رقم الضمان البنكي قبل التقديم.
Enter the name of the Beneficiary before submittting.,أدخل اسم المستفيد قبل التقديم.
Enter the name of the bank or lending institution before submittting.,أدخل اسم البنك أو مؤسسة الإقراض قبل التقديم.
Upload Bank Statement,@@
Auto Reconcile,@@
Get Unreconciled Entries,الحصول على مدخلات لم تتم تسويتها
Party Type and Party is required for Receivable / Payable account {0},@@
No matching references found for auto reconciliation,@@
{0} transaction is reconcilied,@@
{0} transactions are reconcilied,@@
Import Progress,@@
In Progress,في تَقَدم
Export Errored Rows,@@
Start Import,@@
Retry,@@
Save,حفظ
Report Error,@@
Loading import file...,@@
Show Traceback,إظهار التتبع
Success,نجاح
Failure,@@
No failed logs,@@
Row Number,@@
Status,الحالة
Message,رسالة
Please add the Bank Account column,@@
Scheduler is inactive. Cannot import data.,المجدول غير نشط. لا يمكن استيراد البيانات.
Scheduler Inactive,المجدول غير نشط
Cancelled,ألغيت
Reconciled,فرضت عليه
Unreconciled,لم تتم تسويتها
Unreconcile Transaction,@@
Bank Transaction {0} is already fully reconciled,@@
Voucher {0} is over-allocated by {1},@@
Voucher {0} value is broken: {1},@@
Bisect Left,@@
Bisect Right,@@
Up,@@
Build Tree,@@
Bisecting Left ...,@@
Bisecting Right ...,@@
Moving up in tree ...,@@
Rebuilding BTree for period ...,@@
From Date: {0} cannot be greater than To date: {1},@@
No more children on Left,@@
No more children on Right,@@
Reached Root,@@
{0} is mandatory,{0} إلزامي
Budget cannot be assigned against Group Account {0},لايمكن أسناد الميزانية للمجموعة Account {0}
Account {0} does not belongs to company {1},الحساب {0} لا ينتمي للشركة {1}\n<br>\nAccount {0} does not belongs to company {1}
Account {0} has been entered multiple times,الحساب {0} تم إدخاله عدة مرات\n<br>\nAccount {0} has been entered multiple times
Please enable Applicable on Purchase Order and Applicable on Booking Actual Expenses,يرجى تمكين Applicable على أمر الشراء والتطبيق على المصروفات الفعلية للحجز
Please enable Applicable on Booking Actual Expenses,يرجى تمكين Applicable على Booking Actual Expenses
Annual,سنوي
Accumulated Monthly,متراكمة شهريا
is already,@@
will be,@@
{0} Budget for Account {1} against {2} {3} is {4}. It {5} exceed by {6},@@
Budget Exceeded,@@
You can only select a maximum of one option from the list of check boxes.,يمكنك فقط تحديد خيار واحد كحد أقصى من قائمة مربعات الاختيار.
Error,خطأ
From Time Should Be Less Than To Time,من وقت يجب أن يكون أقل من الوقت
Download Template,تحميل الوثيقة
Please select <b>Template Type</b> to download template,يرجى تحديد <b>نوع</b> القالب لتنزيل القالب
Download,تحميل
Import,استيراد
Creating Accounts...,إنشاء حسابات ...
Import Successful,استيراد ناجح
Reset,إعادة تعيين
No data found. Seems like you uploaded a blank file,@@
More columns found than expected. Please compare the uploaded file with standard template,@@
Wrong Template,@@
{} is a child company.,@@
Please import accounts against parent company or enable {} in company master.,@@
Wrong Company,@@
The parent account {0} does not exists in the uploaded template,الحساب الأصل {0} غير موجود في القالب الذي تم تحميله
"Alternatively, you can download the template and fill your data in.",@@
Parent Account Missing,@@
Please enter Root Type for account- {0},@@
"Root Type for {0} must be one of the Asset, Liability, Income, Expense and Equity",@@
Please add Root Account for - {0},@@
Update Print Format,تحديث تنسيق الطباعة
Create Print Format,إنشاء تنسيق طباعة
Account Pay Only,حساب الدفع فقط
Print settings updated in respective print format,تم تحديث إعدادات الطباعة في تنسيق الطباعة الخاصة\n<br>\nPrint settings updated in respective print format
Reports,تقارير
New Cost Center Name,اسم مركز تكلفة جديد
Cost Center Number,رقم مركز التكلفة
Budget List,قائمة الميزانية
Budget,ميزانية
Monthly Distribution,التوزيع الشهري
Budget Variance Report,تقرير إنحرافات الموازنة
Update Cost Center Name / Number,تحديث اسم / رقم مركز التكلفة
Merge with existing,دمج مع الحالي
Please enter company name first,الرجاء إدخال اسم الشركة اولاً
Please enter parent cost center,الرجاء إدخال مركز تكلفة الأب
Root cannot have a parent cost center,الجذر لا يمكن أن يكون له مركز تكلفة أب\n<br>\nRoot cannot have a parent cost center
{0} is not a group node. Please select a group node as parent cost center,{0} ليست عقدة مجموعة. يرجى تحديد عقدة المجموعة كمركز تكلفة الأصل
Cannot convert Cost Center to ledger as it has child nodes,لا يمكن تحويل مركز التكلفة إلى حساب دفتر الأستاذ لانه مرتبط بعقدة فرعية
Cost Center with existing transactions can not be converted to ledger,مركز التكلفة مع المعاملات الحالية لا يمكن تحويلها إلى حساب استاد
Cost Center with Allocation records can not be converted to a group,@@
"Cost Center is a part of Cost Center Allocation, hence cannot be converted to a group",@@
Cost Center with existing transactions can not be converted to group,"مركز التكلفة لديه حركات مالية, لا يمكن تحويه لمجموعة\n<br>\nCost Center with existing transactions can not be converted to group"
Total percentage against cost centers should be 100,@@
Warning!,@@
Main Cost Center {0} cannot be entered in the child table,@@
Add/Edit Coupon Conditions,إضافة / تحرير شروط القسيمة
Please select the customer.,يرجى اختيار العميل.
Access Key is required for Service Provider: {0},@@
Invalid result key. Response:,@@
Returned exchange rate is neither integer not float.,@@
Payment,دفع
Resolved,تم الحل
Unresolved,لم تحل
Resolve,حل
Ledger,حساب الاستاد
Journal Entries,@@
Rounding Loss Allowance should be between 0 and 1,@@
Journals have been created,@@
Please select Company and Posting Date to getting entries,يرجى تحديد الشركة وتاريخ النشر للحصول على إدخالات
No outstanding invoices require exchange rate revaluation,لا تتطلب الفواتير المستحقة إعادة تقييم سعر الصرف
No outstanding invoices found,لم يتم العثور على فواتير معلقة
Please set Unrealized Exchange Gain/Loss Account in Company {0},يرجى تعيين حساب أرباح / خسائر غير محققة في الشركة {0}
Company and Posting Date is mandatory,@@
Party Type and Party is mandatory for {0} account,نوع الطرف والحزب إلزامي لحساب {0}
Assets,الأصول
Budgets,الميزانيات
References,المراجع
Target Details,تفاصيل الهدف
Fiscal Year Start Date should be one year earlier than Fiscal Year End Date,يجب أن يكون تاريخ بدء السنة المالية قبل سنة واحدة من تاريخ نهاية السنة المالية
Fiscal Year End Date should be one year after Fiscal Year Start Date,يجب أن يكون تاريخ انتهاء السنة المالية بعد سنة واحدة من تاريخ بدء السنة المالية
{0} is required,{0} مطلوب
{0} {1}: Customer is required against Receivable account {2},{0} {1}: الزبون مطلوب بالمقابلة بالحساب المدين {2}
{0} {1}: Supplier is required against Payable account {2},{0} {1}: المورد مطلوب لحساب الدفع {2}\n<br> \n{0} {1}: Supplier is required against Payable account {2}
{0} {1}: Either debit or credit amount is required for {2},{0} {1}: إما مبلغ دائن أو مدين مطلوب ل{2}
{0} {1}: Cost Center is required for 'Profit and Loss' account {2}.,@@
Missing Cost Center,@@
{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry,"{0} {1}: نوع حساب ""الربح والخسارة"" {2} غير مسموح به في قيد افتتاحي"
{0} {1}: Account {2} is inactive,{0} {1}: الحساب {2} غير فعال \n<br>\n{0} {1}: Account {2} is inactive
{0} {1}: Account {2} does not belong to Company {3},{0} {1}: الحساب {2} لا ينتمي إلى الشركة {3}
{0} {1}: Cost Center {2} does not belong to Company {3},{0} {1}: مركز التكلفة {2} لا ينتمي إلى الشركة {3}
{0} {1}: Accounting Entry for {2} can only be made in currency: {3},{0} {1}: قيد محاسبي ل {2} يمكن ان يتم فقط بالعملة : {3}
Individual GL Entry cannot be cancelled.,@@
Please cancel related transaction.,@@
Balance for Account {0} must always be {1},رصيد الحساب لـ {0} يجب ان يكون دائما {1}
Against Journal Entry {0} is already adjusted against some other voucher,مدخل قيد اليومية {0} تم تعديله بالفعل لقسيمة أخرى\n<br>\nAgainst Journal Entry {0} is already adjusted \nagainst some other voucher
Outstanding for {0} cannot be less than zero ({1}),غير المسددة ل {0} لا يمكن أن يكون أقل من الصفر ( {1} )
Account {0} is frozen,الحساب {0} مجمد\n<br>\nAccount {0} is frozen
Not authorized to edit frozen Account {0},غير مصرح له بتحرير الحساب المجمد {0}\n<br>\nNot authorized to edit frozen Account {0}
Reference,مرجع
Draft,مشروع
Sanctioned,مقرر
Disbursed,مصروف
Settled,تسوية
Canceled,ألغيت
Get Invoices,الحصول على الفواتير
Disburse Loan,صرف القرض
Close Loan,إغلاق القرض
Get Invoices based on Filters,الحصول على الفواتير على أساس المرشحات
Get Invocies,الحصول على الدعوات
Accounting Ledger,موازنة دفتر الأستاذ
Loan Start Date and Loan Period are mandatory to save the Invoice Discounting,تاريخ بدء القرض وفترة القرض إلزامية لحفظ خصم الفاتورة
Row({0}): {1} is already discounted in {2},الصف ({0}): {1} مخصوم بالفعل في {2}
Pre Sales,قبل البيع
Purchase,الشراء
Stock,المخازن
{0} entered twice in Item Tax,{0} ادخل مرتين في ضريبة البند
"Draft, red, docstatus,=,0",@@
"Cancelled, grey, docstatus,=,2",@@
Reverse Journal Entry,عكس دخول المجلة
Quick Entry,إدخال سريع
Create Inter Company Journal Entry,إنشاء Inter Journal Journal Entry
Make,سنة الصنع
Select Company,حدد الشركة
Please select Company,الرجاء اختيار شركة \n<br>\nPlease select Company
Quick Journal Entry,قيد دفتر يومية سريع
Amount,كمية
Debit Account,حساب مدين
Credit Account,حساب دائن
Date,تاريخ
User Remark,ملاحظة المستخدم
Series,سلسلة التسمية
Please select Company first,الرجاء تحديد الشركة أولا\n<br>\nPlease select Company first
Please select Posting Date first,الرجاء تحديد تاريخ النشر أولا\n<br>\nPlease select Posting Date first
The task has been enqueued as a background job.,@@
Total Credit/ Debit Amount should be same as linked Journal Entry,يجب أن يكون إجمالي مبلغ الائتمان / المدين هو نفسه المرتبطة بإدخال المجلة
Journal Entry type should be set as Depreciation Entry for asset depreciation,@@
Account: {0} can only be updated via Stock Transactions,الحساب: {0} لا يمكن تحديثه إلا من خلال معاملات المخزون
Cannot apply TDS against multiple parties in one entry,@@
Row #{0}: Status must be {1} for Invoice Discounting {2},الصف # {0}: يجب أن تكون الحالة {1} بالنسبة لخصم الفاتورة {2}
Journal Entry for Asset scrapping cannot be cancelled. Please restore the Asset.,@@
Row {0}: Account {1} and Party Type {2} have different account types,@@
Reference No & Reference Date is required for {0},رقم المرجع وتاريخه مطلوبان ل {0}\n<br>\nReference No &amp; Reference Date is required for {0}
Reference No is mandatory if you entered Reference Date,رقم المرجع إلزامي اذا أدخلت تاريخ المرجع\n<br>\nReference No is mandatory if you entered Reference Date
Row {0}: Advance against Customer must be credit,الصف {0}:  الدفعة المقدمة مقابل الزبائن يجب أن تكون دائن
Row {0}: Advance against Supplier must be debit,الصف {0}:المورد المقابل المتقدم يجب أن يكون مدين\n<br>\nRow {0}: Advance against Supplier must be debit
You can not enter current voucher in 'Against Journal Entry' column,لا يمكنك إدخال القسيمة الحالية في عمود 'قيد اليومية المقابل'.\n<br>\nYou can not enter current voucher in 'Against Journal Entry' column
Against Journal Entry {0} does not have any unmatched {1} entry,قيد اليومية المقابل {0} لا يحتوى مدخل {1} غير مطابق\n<br>\nAgainst Journal Entry {0} does not have any unmatched {1} entry
Row {0}: Debit entry can not be linked with a {1},الصف {0}: لا يمكن ربط قيد مدين مع {1}
Row {0}: Credit entry can not be linked with a {1},صف {0}: لا يمكن ربط قيد دائن مع {1}
Row {0}: Invalid reference {1},الصف {0}: مرجع غير صالحة {1}
Row {0}: Party / Account does not match with {1} / {2} in {3} {4},الصف {0}: حزب / حساب لا يتطابق مع {1} / {2} في {3} {4}
Row {0}: {1} {2} does not match with {3},الصف {0}: {1} {2} لا يتطابق مع {3}
{0} {1} is not submitted,{0} {1} لم يتم تقديمه
{0} {1} is fully billed,{0} {1} قدمت الفواتير بشكل كامل
{0} {1} is closed,{0} {1} مغلقة
Advance paid against {0} {1} cannot be greater than Grand Total {2},@@
Payment against {0} {1} cannot be greater than Outstanding Amount {2},الدفعة مقابل {0} {1} لا يمكن أن تكون أكبر من المبلغ القائم {2}
Row {0}: Both Debit and Credit values cannot be zero,@@
Total Debit must be equal to Total Credit. The difference is {0},يجب أن يكون إجمالي الخصم يساوي إجمالي الائتمان .
You cannot credit and debit same account at the same time,لا يمكن إعطاء الحساب قيمة مدين وقيمة دائن في نفس الوقت
Please check Multi Currency option to allow accounts with other currency,يرجى اختيار الخيار عملات متعددة للسماح بحسابات مع عملة أخرى
Row {0}: Exchange Rate is mandatory,الصف {0}: سعر صرف إلزامي
Note: {0},ملاحظة : {0}
Reference #{0} dated {1},المرجع # {0} بتاريخ {1}
Please enter Reference date,الرجاء إدخال تاريخ المرجع\n<br>\nPlease enter Reference date
{0} against Sales Invoice {1},{0} مقابل فاتورة المبيعات {1}
{0} against Sales Order {1},{0} مقابل طلب مبيعات {1}
{0} against Bill {1} dated {2},{0} مقابل الفاتورة {1} بتاريخ {2}
{0} against Purchase Order {1},{0} مقابل أمر الشراء {1}
'Entries' cannot be empty,المدخلات لا يمكن أن تكون فارغة
Stock Entry {0} is not submitted,الحركة المخزنية {0} غير مسجلة
Warning: Another {0} # {1} exists against stock entry {2},تحذير: {0} أخر # {1} موجود في مدخل المخزن {2}\n<br>\nWarning: Another {0} # {1} exists against stock entry {2}
Accounts table cannot be blank.,جدول الحسابات لا يمكن أن يكون فارغا.
Can only make payment against unbilled {0},يمكن إجراء دفعة فقط مقابل فاتورة غير مدفوعة {0}
No Permission,لا يوجد تصريح
Please select correct account,يرجى اختيارالحساب الصحيح
Merge Progress,@@
Please set Company,يرجى تعيين الشركة
Please set Root Type,@@
Please set Account,@@
Start Merge,@@
Scheduler is inactive. Cannot merge accounts.,@@
Notes,ملاحظات
"If unlimited expiry for the Loyalty Points, keep the Expiry Duration empty or 0.",إذا كان انتهاء الصلاحية غير محدود لنقاط الولاء ، فاحتفظ مدة الصلاحية فارغة أو 0.
One customer can be part of only single Loyalty Program.,يمكن أن يكون أحد العملاء جزءًا من برنامج الولاء الوحيد.
Please select the Multiple Tier Program type for more than one collection rules.,يرجى تحديد نوع البرنامج متعدد الطبقات لأكثر من قواعد مجموعة واحدة.
Customer isn't enrolled in any Loyalty Program,العميل غير مسجل في أي برنامج ولاء
The Loyalty Program isn't valid for the selected company,برنامج الولاء غير صالح للشركة المختارة
You don't have enough Loyalty Points to redeem,ليس لديك ما يكفي من نقاط الولاء لاستردادها
You can't redeem Loyalty Points having more value than the Grand Total.,لا يمكنك استرداد نقاط الولاء التي لها قيمة أكبر من المجموع الكلي.
Same Company is entered more than once,تم إدخال نفس الشركة أكثر من مره\n<br>\nSame Company is entered more than once
Account {0} does not match with Company {1} in Mode of Account: {2},الحساب {0} لا يتطابق مع الشركة {1} في طريقة الحساب: {2}
Not Allowed,غير مسموح
Percentage Allocation should be equal to 100%,مجموع النسب المخصصة يجب ان تساوي 100 %
Invoice Type,نوع الفاتورة
Opening Invoices,فتح الفواتير
Total Outstanding,إجمالي المعلقة
Create Invoices,إنشاء الفواتير
Opening Invoices Summary,ملخص الفواتير الافتتاحية
Please select the Company,يرجى تحديد الشركة
Opening Invoice Item,فتح الفاتورة البند
Row #{}: {} {} does not exist.,الصف رقم {}: {} {} غير موجود.
Row #{0}: {1} is required to create the Opening {2} Invoices,الصف رقم {0}: {1} مطلوب لإنشاء فواتير الافتتاح {2}
Please Set Supplier Group in Buying Settings.,يرجى تعيين مجموعة الموردين في إعدادات الشراء.
Please set the Default Cost Center in {0} company.,يرجى تعيين مركز التكلفة الافتراضي في الشركة {0}.
Nos,Nos
You had {} errors while creating opening invoices. Check {} for more details,كان لديك {} من الأخطاء أثناء إنشاء الفواتير الافتتاحية. تحقق من {} لمزيد من التفاصيل
Error Occured,حدث خطأ
